representation,auc,youden_thr,youden_tpr,youden_fpr,youden_prec,youden_recall,rec95_thr,rec99_thr,rec95_tpr,rec99_tpr,rec95_fpr,rec99_fpr,rec95_prec,rec99_prec,sample_pos,sample_neg
String-MinHash,0.9686906234046797,0.146484375,0.9001339921279625,0.04988803499873053,0.005287568900180995,0.9001339921279625,0.0625,0.0078125,0.9506741478938112,0.9930910309019345,0.18105746928152083,0.7019689654058126,0.0015445133838948766,0.0004166178801689318,47764,162126109
Code-Regionen-Liste,0.8679561845141525,0.3988839387893677,0.7868268989196885,0.1772503896950984,0.0013060870775226036,0.7868268989196885,0.02978012152016163,0.0,0.9500041872539988,1.0,0.6242189035696897,1.0,0.0004481688338596769,0.0002945233971195841,47764,162126109
Program-Header-Vektor,0.6724459669443301,0.8291192054748535,0.5579515953437736,0.171797640563865,0.0009558983645816449,0.5579515953437736,0.0,0.0,1.0,1.0,1.0,1.0,0.0002945233971195841,0.0002945233971195841,47764,162126109
ELF-Header-Vektor,0.541603736718006,1.0,0.3273804538983335,0.1100683665947969,0.0008755028458461597,0.3273804538983335,0.0,0.0,1.0,1.0,0.9997930746614044,0.9997930746614044,0.00029458433612983075,0.00029458433612983075,47764,162126109
Sektionsgrößen-Vektor,0.6542737855892211,0.9762353301048279,0.5087513608575496,0.14637423389961207,0.0010229259597350244,0.5087513608575496,0.0,0.0,1.0,1.0,1.0,1.0,0.0002945233971195841,0.0002945233971195841,47764,162126109
